Number of keys, Speed
1,1143.1
25,1007.9
50,1000.6
100,998.3
250,966.5
500,909.7
750,850.5
1000,759.0
1250,692.7
1500,604.9
1750,519.1
2000,464.0
2250,407.9
2513,358.1
