Number of keys, Speed
1, 1100.5
25, 524.5
50, 371.4
100, 235.7
250, 113.3
500, 60.7
750, 41.3
1000, 31.5
1250, 25.6
1500, 21.2
1750, 18.2
2000, 16.2
2250, 14.4
2513, 12.8
